f1,f2,rank
0.2799810728469949,0.48100971830788397,0.0
0.2799810728469949,0.48100971830788397,0.0
0.08264308707274139,0.7180638684751318,0.0
0.08264308707274139,0.7180638684751318,0.0
0.08264308707274139,0.7180638684751318,0.0
0.08264308707274139,0.7180638684751318,0.0
0.0726295197461251,0.7359582955899656,0.0
0.0233702811766409,0.8582025395963643,0.0
0.08264308707274139,0.7180638684751318,0.0
0.29553999894244865,0.46366372060240874,0.0
0.0726295197461251,0.7359582955899656,0.0
0.0233702811766409,0.8582025395963643,0.0
0.29553999894244865,0.46366372060240874,0.0
0.0726295197461251,0.7359582955899656,0.0
0.36339150027963973,0.40319570434767826,0.0
0.9818597739413829,0.010828664384425911,0.0
0.0233702811766409,0.8582025395963643,0.0
0.32877512839778983,0.43107184399813014,0.0
0.0726295197461251,0.7359582955899656,0.0
0.36339150027963973,0.40319570434767826,0.0
0.7911729307189402,0.11455141354499754,0.0
0.29553999894244865,0.46366372060240874,0.0
0.9818597739413829,0.010828664384425911,0.0
0.32877512839778983,0.43107184399813014,0.0
0.0726295197461251,0.7359582955899656,0.0
0.0233702811766409,0.8582025395963643,0.0
0.7911729307189402,0.11455141354499754,0.0
0.36339150027963973,0.40319570434767826,0.0
0.008175291068711038,0.9195246689085815,0.0
0.9818597739413829,0.010828664384425911,0.0
0.48726965246806536,0.3071429672575103,0.0
0.36339150027963973,0.40319570434767826,0.0
0.7911729307189402,0.11455141354499754,0.0
0.32877512839778983,0.43107184399813014,0.0
0.01982943052544489,0.8624028457197507,0.0
0.008175291068711038,0.9195246689085815,0.0
0.8709623008852081,0.07352964700963793,0.0
0.48726965246806536,0.3071429672575103,0.0
0.0025102915896149935,0.9554426693214734,0.0
0.6007295388508123,0.2280012343622521,0.0
0.9664256217107814,0.01850985681419808,0.0
0.48726965246806536,0.3071429672575103,0.0
0.5082806242433748,0.2910806775898139,0.0
0.8709623008852081,0.07352964700963793,0.0
0.08792766481176148,0.7088968581556925,0.0
0.6007295388508123,0.2280012343622521,0.0
0.2509585314717182,0.5016326082051643,0.0
0.9547804868681992,0.0245156455497845,0.0
0.009694502300624769,0.907707556782453,0.0
0.14550200585892642,0.6215464038119684,0.0
0.5082806242433748,0.2910806775898139,0.0
0.33087808375982275,0.42764723409031524,0.0
0.4871786695375443,0.30812663573856586,0.0
0.08792766481176148,0.7088968581556925,0.0
0.880468841192976,0.06479657483825386,0.0
0.6007295388508123,0.2280012343622521,0.0
0.2509585314717182,0.5016326082051643,0.0
0.19817845706339024,0.559480424499849,0.0
0.9547804868681992,0.0245156455497845,0.0
0.33087808375982275,0.42764723409031524,0.0
